,University,Games,Attendance,Average,Year
0,Michigan,7,776405,110915,2005
1,Tennessee,6,645558,107593,2005
2,Ohio St,7,735120,105017,2005
3,Penn St,7,734013,104859,2005
4,Georgia,6,556206,92701,2005
5,LSU,6,549480,91580,2005
6,Southern California,6,544872,90812,2005
7,Florida,6,542435,90406,2005
8,Oklahoma,6,505984,84331,2005
9,Auburn,7,589124,84161,2005
10,Texas,5,416663,83333,2005
11,Florida St,6,496343,82724,2005
12,Wisconsin,6,495308,82551,2005
13,Alabama,7,567126,81018,2005
14,Notre Dame,6,484770,80795,2005
15,South Carolina,7,559071,79867,2005
16,Clemson,6,469391,78232,2005
17,Nebraska,7,542397,77485,2005
18,Michigan St,6,451097,75183,2005
19,Iowa,6,423510,70585,2005
20,Virginia Tech,6,390690,65115,2005
21,Washington,6,385957,64326,2005
22,UCLA,6,385305,64218,2005
23,Arkansas,6,382070,63678,2005
24,Purdue,6,377977,62996,2005
25,Kentucky,6,374697,62450,2005
26,Arizona St,7,428096,61157,2005
27,Virginia,6,365836,60973,2005
28,California,6,362263,60377,2005
29,Oregon,6,350602,58434,2005
30,Brigham Young,6,349222,58204,2005
31,West Virginia,6,337720,56287,2005
32,Mississippi,6,325348,54225,2005
33,Arizona,6,321676,53613,2005
34,Missouri,6,320181,53364,2005
35,North Carolina St,7,370476,52925,2005
36,Maryland,5,262129,52426,2005
37,North Carolina,6,310000,51667,2005
38,Georgia Tech,6,309644,51607,2005
39,Texas Tech,7,356802,50972,2005
40,Colorado,6,302452,50409,2005
41,Minnesota,6,294147,49025,2005
42,UTEP,6,287394,47899,2005
43,Illinois,6,287113,47852,2005
44,Mississippi St,6,286127,47688,2005
45,Iowa St,6,280232,46705,2005
46,Kansas St,6,275767,45961,2005
47,Miami (Fla),6,271862,45310,2005
48,Oklahoma St,6,269163,44861,2005
49,Kansas,6,262051,43675,2005
50,Stanford,6,261301,43550,2005
51,Oregon St,6,253140,42190,2005
52,Utah,6,249215,41536,2005
53,Louisville,6,246007,41001,2005
54,Pittsburgh,6,241630,40272,2005
55,Syracuse,6,241510,40252,2005
56,Connecticut,6,240000,40000,2005
57,Memphis,6,239946,39991,2005
58,Indiana,6,237214,39536,2005
59,Boston College,6,236572,39429,2005
60,Fresno St,6,235839,39307,2005
61,Baylor,5,194493,38899,2005
62,South Fla,5,194325,38865,2005
63,New Mexico,5,191707,38341,2005
64,San Diego St,6,217339,36223,2005
65,Vanderbilt,6,216187,36031,2005
66,Air Force,5,179906,35981,2005
67,Rutgers,6,199101,33184,2005
68,East Caro,5,165230,33046,2005
69,Navy,5,165066,33013,2005
70,Hawaii,7,229142,32735,2005
71,Northwestern,6,195163,32527,2005
72,TCU,5,156268,31254,2005
73,Washington St,5,155547,31109,2005
74,Army,6,185611,30935,2005
75,Boise St,7,210781,30112,2005
76,Colorado St,5,146737,29347,2005
77,Wake Forest,6,173544,28924,2005
78,UCF,5,142311,28462,2005
79,Southern Miss,5,139312,27862,2005
80,Marshall,6,159062,26510,2005
81,Tulsa,5,114132,22826,2005
82,Cincinnati,5,112113,22423,2005
83,Northern Ill,5,110880,22176,2005
84,Toledo,5,109086,21817,2005
85,Wyoming,5,103252,20650,2005
86,UAB,5,100506,20101,2005
87,UNLV,5,99570,19914,2005
88,Troy,5,97125,19425,2005
89,Western Mich,5,94530,18906,2005
90,Southern Methodist,6,111780,18630,2005
91,Arkansas St,6,110288,18381,2005
92,Ohio,5,90167,18033,2005
93,La-Lafayette,5,87957,17591,2005
94,Duke,6,104915,17486,2005
95,North Texas,5,82232,16446,2005
96,Louisiana Tech,5,82080,16416,2005
97,Central Mich,5,79855,15971,2005
98,Miami (Ohio),5,76203,15241,2005
99,Idaho,4,60700,15175,2005
100,Nevada,6,90458,15076,2005
101,Houston,6,90324,15054,2005
102,Bowling Green,5,74644,14929,2005
103,La-Monroe,5,73084,14617,2005
104,Middle Tenn St,5,72629,14526,2005
105,Tulane,6,85450,14242,2005
106,Ball St,4,51810,12953,2005
107,Temple,5,63674,12735,2005
108,New Mexico St,6,75339,12557,2005
109,San Jose St,5,62529,12506,2005
110,Utah St,5,54482,10896,2005
111,Akron,5,54464,10893,2005
112,Rice,5,50362,10072,2005
113,Buffalo,5,44572,8914,2005
114,Kent St,5,33292,6658,2005
115,Eastern Mich,4,20874,5219,2005
116,Montana,7,157355,22479,2005
117,Delaware,6,133060,22177,2005
118,Yale,5,108333,21667,2005
119,Southern U,4,79552,19888,2005
120,Appalachian St,7,125417,17917,2005
121,Ga Southern,6,97443,16241,2005
122,Tennessee St,4,60092,15023,2005
123,Jackson St,5,72986,14597,2005
124,Youngstown St,6,87261,14544,2005
